,price,diff,value,unit,adj_cash,free_cash,asset_value,equity
0,4422.900000000001,0.5000000000000002,750.0000000000001,0.09689828586932295,0.0,800.0000000000002,428,1228.0000000000002
1,4128.040000000001,0.40000000000000036,700.0000000000002,0.09689828586932295,300.0000000000002,800.0000000000002,400,1200.0000000000002
2,3833.1800000000003,0.30000000000000016,650.0000000000001,0.1043520001669632,250.0000000000001,750.0000000000001,400,1150.0
3,3538.32,0.2000000000000001,600.0,0.141310000226096,100.0,600.0,500,1100.0
4,3243.46,0.10000000000000005,550.0,0.15415636388301382,50.0,550.0,500,1050.0
5,2948.6,0.0,500.0,0.1695720002713152,0.0,500.0,500,1000.0
6,2653.74,-0.10000000000000005,450.0,0.18841333363479468,-50.0,450.0,500,950.0
7,2358.8799999999997,-0.2000000000000001,399.99999999999994,0.21196500033914403,-100.00000000000006,399.99999999999994,500,900.0
8,2064.0199999999995,-0.30000000000000016,349.9999999999999,0.290694857607969,-250.0000000000001,249.9999999999999,600,849.9999999999999
9,1769.1599999999994,-0.4000000000000002,299.9999999999999,0.3391440005426305,-300.0000000000001,199.9999999999999,600,799.9999999999999
10,1474.2999999999993,-0.5000000000000002,249.9999999999999,0.3391440005426305,0.0,199.9999999999999,499,698.9999999999999
